srNo,type,subject,title,content,remarks,link,closing
1,initial,PO Creation Successful,Purchase Order Reminder,Action Required,This is a friendly reminder that you have a <strong>Purchase Order created</strong>. Please review and take the necessary steps to move it forward.,https://cdan-po-advanced.cfapps.us10-001.hana.ondemand.com/,Best Regards
2,action,Reminder! Action Needed On The PO Created,Purchase Order Reminder,Action Required,This is a friendly reminder that you have a <strong>Purchase Order pending action</strong>. Please review and take the necessary steps to move it forward.,https://cdan-po-advanced.cfapps.us10-001.hana.ondemand.com/,Best Regards
